N° de la FEB,fr1,fr2,ar1,ar2,bg1,bg2,chi1,chi2,cs1,cs2,da1,da2,de1,de2,el1,el2,en1,en2,es1,es2,es_XL1,es_XL2,et1,et2,fa_IR1,fa_IR2,fi1,fi2,he1,he2,hi1,hi2,hr1,hr2,hu1,hu2,id1,id2,it1,it2,ja1,ja2,ko1,ko2,lt1,lt2,lv1,lv2,nl_NL1,nl_NL2,no1,no2,pl1,pl2,pt_BR1,pt_BR2,pt_PT1,pt_PT2,ro1,ro2,ru1,ru2,sk1,sk2,sl1,sl2,sq1,sq2,sr1,sr2,sv1,sv2,tr1,tr2,uk1,uk2,vi1,vi2
20208_3,{#19} {#2} blocage,remplir AdBlue,{#19} {#2} فشل,زيادة AdBlue,{#19} {#2} повреда,долей AdBlue,{#19} {#2} 故障,加满AdBlue,Za {#19} {#2} se zastaví,doplňte AdBlue,{#19} {#2} fejl,Påfyld Adblue,{#19} {#2} Sperre,AdBlue füllen,{#19} {#2} βλάβη,Γέμισμα AdBlue,{#19} {#2} failure,Top up AdBlue,{#19} {#2} bloqueo,rellenar AdBlue,{#19} {#2} bloqueo,llenar AdBlue,{#19} {#2} tõrge,Lisa AdBlue'd,{#19} {#2} خطا,بالا بردن AdBlue,{#19} {#2} vika,AdBlue täyttö,{#19} {#2} כשל,הוסף AdBlue,{#19} {#2} अवरोध,AdBlue भरें,{#19} {#2} greška,Napuniti AdBlue,{#19} {#2} hiba,AdBlue töltés,{#19} {#2},,{#19} {#2} guasto,riempire AdBlue,{#19} {#2}停止,AdBlue補給が必要,{#19} {#2} 고장,AdBlue 보충요망,{#19} {#2} gedimas,pildyti AdBlue,{#19} {#2} kļūme,uzpildīt AdBlue,{#19} {#2} blokkade,AdBlue bijvullen,{#19} {#2} feil,Fyll opp Adblue,{#19} {#2} stop,dodaj AdBlue,{#19} {#2} bloqueio,abastecer Arla32,{#19} {#2} bloqueio,atestar AdBlue,{#19} {#2} blocare,umpleți AdBlue,{#19} {#2} блокир,добавить AdBlue,{#19} {#2} ochrana,doplniť AdBlue,{#19} {#2} blokada,napolnite AdBlue,{#19} {#2} vërejtje,Shto Adblue,{#19} {#2} blokada,napuniti AdBlue,{#19} {#2} Fyll på,AdBlue,{#19} {#2} bloke,AdBlue doldurun,{#19} {#2} відмова,долити AdBlue,{#19} {#2},
20208_4,Antipollution,à contrôler,التحقق المضاد لـ,نظام الكبح,Контрол на отра-,ботените газове,检查,排放系统,Zkontrolovat,emisní systém,Tjek antifor-,ureningssystem,Abgassystem,prüfen,Ελέγξτε σύστημα,αντιρρύπανσης,Check Anti-,Pollution System,Revisar,la antipolución,Ver sist.,anti-polución,Kontrollige,reostussüsteemi,ضد آلودگی,بررسی سیستم,Tarkista saaste-,estojärjestelmä,בדוק מערכת,נגד זיהום,प्रदूषण निरोधक,प्रणाली की जांच करें,Provjera sistema,protiv zagađenja,Környezetvédel-,met ellenőrizni,Periksa Sistem,Anti-Polusi,Antinquinamento,controllare,汚染防止システム,点検,배출가스 장치를,점검해 주십시오,Tikrinti taršos,mažinimo sistemą,Pārb. piesārņoj.,novērš. sistēmu,Controleer lucht,verontreiniging,Kontroller,Avgassrensing,Skontroluj układ,wydechowy,Verificar sist.,anti-poluição,Mandar verificar,antipoluição,Verifică sistem,antipoluare,Проверьте сист.,сниж токсичности,Skontrolovať,emisný systém,Preverite sistem,anti-polucije,Kontr. sistemin,kund,Proveriti sistem,protiv zagađenja,Kontrollera,Avgasrening,Egzoz emisyon,kontrol ettirin,Перевірте сист.,токсічності,K.tra Hệ thống,Chống Ô nhiễm
20208_5,{#19} {#2} blocage,antipollution,{#19} {#2} فشل,مضاد للتلوث,{#19} {#2} повреда,отраб. газове,{#19} {#2} 故障,防污染,{#19} {#2} blokace,Emisní systém,{#19} {#2} fejl,antiforurening,{#19} {#2} Sperre,Abgasentgiftung,{#19} {#2} βλάβη,Αντιρρύπανση,{#19} {#2} failure,antipollution,{#19} {#2} bloqueo,antipolución,{#19} {#2} bloqueo,anticontaminante,{#19} {#2} tõrge,Saastetõrje,{#19} {#2} خطا,ضدآلودگی,{#19} {#2} vika,saasteenesto,{#19} {#2} כשל,מניעת זיהום,{#19} {#2} अवरोध,प्रदूषण निरोध,{#19} {#2} greška,zagađivanja,{#19} {#2} hiba,környezetvédelem,{#19} {#2},,{#19} {#2} guasto,antinquinamento,{#19} {#2}停止,汚染防止,{#19} {#2} 고장,공해 방지,{#19} {#2} gedimas,taršos mažinimas,{#19} {#2} kļūme,pretpiesārņojuma,{#19} {#2} blokkade,antiluchtveront.,{#19} {#2} feil,avgassystem,{#19} {#2} stop,oczyść wydech,{#19} {#2} bloqueio,anti-poluição,{#19} {#2} bloqueio,antipoluição,{#19} {#2} blocare,antipoluare,{#19} {#2} блокир,Снижен. токсичн.,{#19} {#2} ochrana,Emisný systém,{#19} {#2} blokada,anti-polucija,{#19} {#2} vërejtje,sis. Emetimit,{#19} {#2} blokada,ekološki,{#19} {#2} fel,Avgasreninig,{#19} {#2} bloke,egzoz emisyon,{#19} {#2} відмова,екозахист,{#19} {#2},
20208_6,0 {#2} blocage,remplir AdBlue,0 {#2} فشل,زيادة AdBlue,0 {#2} повреда,долей AdBlue,0 {#2} 故障,加满AdBlue,0 {#2} blokace,Doplnit AdBlue,0 {#2} fejl,Påfyld Adblue,0 {#2} Sperre,AdBlue füllen,0 {#2} βλάβη,Γέμισμα AdBlue,0 {#2} failure,Top up AdBlue,0 {#2} bloqueo,rellenar AdBlue,0 {#2} bloqueo,llenar AdBlue,0 {#2} tõrge,Lisa AdBlue'd,0 {#2} خطا,بالا بردن AdBlue,0 {#2} vika,AdBlue täyttö,0 {#2} כשל,הוסף AdBlue,0 {#2} अवरोध,AdBlue भरें,0 {#2} greška,Napuniti AdBlue,0 {#2} hiba,AdBlue töltés,0 {#2},,0 {#2} guasto,riempire AdBlue,0 {#2}停止,AdBlue補給が必要,0 {#2} 고장,AdBlue 보충요망,0 {#2} gedimas,pildyti AdBlue,0 {#2} kļūme,uzpildīt AdBlue,0 {#2} blokkade,AdBlue bijvullen,0 {#2} feil,Fyll opp Adblue,0 {#2} stop,dodaj AdBlue,0 {#2} bloqueio,abastecer Arla32,0 {#2} bloqueio,atestar AdBlue,0 {#2} blocare,umpleți AdBlue,0 {#2} блокир,добавить AdBlue,0 {#2} ochrana,doplniť AdBlue,0 {#2} blokada,napolnite AdBlue,0 {#2} vërejtje,Shto Adblue,0 {#2} blokada,napuniti AdBlue,0 {#2} Fyll på,AdBlue,0 {#2} bloke,AdBlue doldurun,0 {#2} відмова,долити AdBlue,0 {#2},
20208_7,0 {#2} blocage,antipollution,0 {#2} فشل,مضاد للتلوث,0 {#2} повреда,отраб. газове,0 {#2} 故障,防污染,0 {#2} blokace,Emisní systém,0 {#2} fejl,antiforurening,0 {#2} Sperre,Abgasentgiftung,0 {#2} βλάβη,Αντιρρύπανση,0 {#2} failure,antipollution,0 {#2} bloqueo,antipolución,0 {#2} bloqueo,anticontaminante,0 {#2} tõrge,Saastetõrje,0 {#2} خطا,ضدآلودگی,0 {#2} vika,saasteenesto,0 {#2} כשל,מניעת זיהום,0 {#2} अवरोध,प्रदूषण निरोध,0 {#2} greška,zagađivanja,0 {#2} hiba,környezetvédelem,0 {#2},,0 {#2} guasto,antinquinamento,0 {#2}停止,汚染防止,0 {#2} 고장,공해 방지,0 {#2} gedimas,taršos mažinimas,0 {#2} kļūme,pretpiesārņojuma,0 {#2} blokkade,antiluchtveront.,0 {#2} feil,avgassystem,0 {#2} stop,oczyść wydech,0 {#2} bloqueio,anti-poluição,0 {#2} bloqueio,antipoluição,0 {#2} blocare,antipoluare,0 {#2} блокир,Снижен. токсичн.,0 {#2} ochrana,Emisný systém,0 {#2} blokada,anti-polucija,0 {#2} vërejtje,sis. Emetimit,0 {#2} blokada,ekološki,0 {#2} fel,Avgasreninig,0 {#2} bloke,egzoz emisyon,0 {#2} відмова,екозахист,0 {#2},
20210_3,Système GPL,à contrôler,تحقق من,نظام الغاز,Проверете,LPG уредба,检查,LPG系统,Zkontrolujte,systém LPG,Tjek,LPG-anlæg,LPG-Anlage,prüfen,Ελέγξτε,σύστημα LPG,Check,LPG system,Comprobar,Sistema GPL,Comprobar,Sistema LPG,Kontrollige,LPG süsteemi,سیستم LPG,را بررسی کنید,Tarkista,LPG järjestelmä,בדוק,מערכתLPG,LPG सिस्टम,की जांच करें,Provjeriti,LPG sustav,LPG-rendszer,ellenőrzése,Tandai,sistem LPG,Controllo,Impianto LPG,LPGシステム,要点検,LPG 시스템을,점검하십시오,Patikrinkite,LPG sistemą,Pārbaudīt,LPG sistēmu,Controleer,LPG-systeem,Sjekk,LPG-systemet,Sprawdź,instalację LPG,Verificar,sistema GPL,Verificar,sistema GPL,Verificați,sistemul GPL,Проверить,систему сжиженного нефтяного газа,Skontrolujte,LPG systém,Preveri,LPG sistem,Kontrollo,Sistemin e gazit,Proveriti,LPG sistem,Kontrollera,LPG system,Kontrol ediniz,LPG sistemi,Перевірте,систему LPG,Kiểm tra,hệ thống LPG
20210_4,Niveau GPL,faible,LPG,المستوى منخفض,LPG,ниско ниво,LPG,液位低,Nízká hladina,LPG,LPG,Lavt niveau,LPG-Stand,schwach,Χαμηλή στάθμη,LPG,LPG,low level,Nivel GPL,bajo,Nivel LPG,bajo,LPG,madal tase,LPG,سطح کم,LPG,Alhainen taso,חוסר,"בגפ""מ",एलपीजी,लो लेवल,Razina GPL,niska,LPG szint,alacsony,LPG,level rendah,Livello GPL,basso,LPG,残燃料 少,LPG 연료,레벨이 낮습니다,SND,žemas lygis,LPG,zems līmenis,LPG niveau,laag,LPG,lavt nivå,LPG,Niski poziom,Nível GPL,baixo,Nível GPL,baixo,Nivel GPL,scăzut,Низкий уровень,газового топлива,Nízka hladina,LPG,LPG,nizek nivo,GLP,Niveli u ulët,TNG,nizak nivo,LPG,Låg nivå,LPG seviyesi,düşük,Низький рівень,газу,LPG,mức thấp
20210_6,GPL indisponible,,لا يوجد غاز,,LPG не е наличен,,液化石油气不可用,,Nedisponuje LPG,,LPG ikke tilgængelig,,LPG nicht verfügbar,,LPG μη διαθέσιμο,,LPG not available,,GPL no dispo.,,LPG no disponible,,LPG pole saadaval,,LPG موجود نیست,,LPG ei käytössä,,LPG לא זמין,,LPG उपलब्ध नहीं है,,LPG nije dostupan,,LPG nem elérhető,,LPG tidak sedia,,LPG non disponibile,,LPG システム,使用不可,LPG 사용 불가,,Nėra LPG,,LPG nav pieejama,,LPG,niet beschikbaar,LPG ikke tilgjengelig,,LPG niedostępne,,GLP não,disponível,GPL indisponível,,GPL indisponibil,,Сжиженый нефтяной газ недоступен,,LPG nedostupné,,LPG ni na voljo,,Gazi,i padisponueshëm,LPG nije dostupan,,LPG,ej tillgängligt,LPG mevcut değil,,LPG недоступний,,LPG không có sẵn,
20210_7,Réservoir GPL,vide,خزان الغاز,فارغ,LPG резервоар,празен,液化石油气罐,已空,Nádrž na LPG,prázdná,LPG-beholder,tom,LPG-Tank,leer,Δεξαμενή LPG,άδεια,LPG tank,empty,Depósito GPL,vacío,Depósito LPG,vacío,LPG paak,tühi,مخزن LPG,خالی است,LPG säiliö,tyhjä,מיכל LPG,ריק,LPG टैंक,खाली,LPG spremnik,prazan,LPG-tartály,üres,Tangki LPG,kosong,Serbatoio LPG,vuoto,LPGタンク,が空,LPG 탱크,비어 있음,LPG bakas,tuščias,LPG tvertne,tukša,LPG-tank,leeg,LPG- tanken,tom,Pusty,zbiornik LPG,Tanque de GLP,vazio,Depósito de GPL,vazio,Rezervor LPG,gol,Баллон сжиженного,нефтяного газа пустой,LPG nádrž,prázdna,LPG rezervoar,prazen,Rezervua. me gaz,i zbrazët,LPG rezervoar,prazan,LPG tank tom,,LPG deposu,boş,Бак LPG,порожній,Bồn chứa LPG,rỗng
20210_8,Perfo. limitées,Remplir essence,الأداء محدود,أضف وقود,Огран. характер.,и гориво,性能有限,添加燃油,"Omezený výkon,",natankujte,Begrænset ydeevn,tilføj brændstof,Leistung be-,grenzt; tanken,Μειωμένη απόδοση,Βάλτε καύσιμο,Performance limited,Add gasoline,Rendimiento,"limitado, repostar",Rendimiento limitado,agregue combustible,Jõudlus piiratud,lisage kütust,عملکرد محدود,سوخت اضافه کنید,Teho rajoitettu,lisää polttoaine,ביצועים מוגבלים,להוסיף דלק,प्रदर्शन सीमित,ईंधन भरें,Učinak ograničen,dodajte gorivo,Korl. teljesítm.,tankoljon LPG-t,Kinerja terbatas,tambahbahanbakar,Prestaz. Limit,aggiu.Carburante,性能に制限あり,燃料を補給,성능 제한됨,연료를 주입하십시오,Ribotas našumas,Įpilkite degalų,Veiktsp. Ierob.,uzp. Degvielu,Beperkt vermogen,brandstof vullen,Ytelse begrenset,fyll drivstoff,Ograniczona moc,Uzupełnij paliwo,Desemp. limitado,Abastecer comb.,Desemp.limitado,Abastecer combust.,Performan. limit,adăugați benzină,Огран. производ.,Добавить топлива,"Obmedzený výkon,",natankujte,Omejena zmoglji.,Dotočite gorivo,Perfo. e kufizar,Shto karburant,Ograničiene perfom.,dodati gorivo,Prestanda gräns,ADD-bränsle,Perfor. limitli,yakıt ekle,Обмеж продуктивн,Додайте палива,H.suất giới hạn,Nạp nhiên liệu
20213_10,Refroidir moteur,Arrêt temporaire,برد المحرك,وقوف مؤقت,охладете двиг.,временно спиране,停车,以冷却电机,Zchlaďte motor,chvíli zastavte,Nedkøling motor,Midl. Stop,Abkühlen Motor,Zeitweise aus,Ψύξτε κινητήρα,Προσωρινή στάση,Cool down motor,Temporary stop,Refrigerar motor,Parada temporal,Enfriar motor,parada temporar.,Mootori jahutus,Ajutine paus,خنک شدن موتور,توقف موقت,Jäähdytä,"moottori, tauko",עצירה זמנית,קרר את המנוע,मोटर ठंडा होना,अस्थायी बंद है,Ohladite motor,zaustavite se,Motort hűteni,Álljon meg,Pendingin Motor,Sementara Stop,Raffredd. motore,arresto tempor.,モーター ヒート,一時停止,엔진 냉각 필요,잠시 정차 요망,Atvėsint variklį,laikinas sust.,Atdzesēt motoru,uz brīdi apturēt,Motor afkoelen,tijdelijke stop,Kjøl ned motor,midlertidig stop,Ostudź silnik,Chwilowy postój,Resfriar motor,parada tempor.,Arrefecer motor,Parag. temporár.,Răcire motor,oprire temporară,Охлажд. мотора,Времен. остан.,Ochladiť motor,dočasný stop,Ohladi motor,Začasno zaustavi,Ftoheni motorin,Stop përkohshëm,Ohladiti motor,privremeno stop,Kyler elmotor,Tillfälligt stop,Motor soğutma,Geçici durma,Охолодіть двигун,зупиніть тимчас.,Làm mát động cơ,Tạm dừng xe
20213_2,Performances,limitées,محدود,الأداء,Ограничена,функционалност,性能受限,,Výkon,omezen,Reduceret,ydelse,Begrenzte,Leistung,Περιορισμένες,επιδόσεις,Limited,performance,Prestaciones,limitadas,Rendimiento,restringido,Piiratud,kasutus,عملکرد,محدود,Rajoitettu,suorituskyky,ביצועים,מוגבלים,सीमित,क्रिया,Ograničenje,karakteristike,Teljesítmény,korlátozva,Performa,terbatas,Prestazioni,limitate,性能,制限,성능,제한,Ribotas,veikimas,Ierobežota,veiktspēja,Prestaties,beperkt,Begrenset,Effekt,Osiągi,ograniczone,Desempenho,limitado,Desempenho,limitado,Performanţă,limitată,Характеристики,ограничены,Výkon,obmedzený,Omejeno,delovanje,Performansa,kufizuar,Ograničene,performanse,Prestanda,Begränsad,Sınırlı,performans,Обмежена,робота,Hiệu suất hạn,chế
20213_4,Freiner,le véhicule,استخدام,المكابح,Използвай,спирачки,使用制动,,Zabrzdit,vozidlo,Aktiver,bremser,Fahrzeug,bremsen,Πατήστε,φρένο,Apply,brakes,Frenar,el vehículo,Aplicar,frenos,Rakendage,pidurid,کشیدن,ترمزها,Käytä,jarruja,לחץ על,הבלמים,ब्रेक,लगाएं,Zakočite,vozilo,Fékezze le a,gépkocsit,Terapkan,Rem,Frenare,il veicolo,ブレーキを,踏んでください,제동기,차량용,Įjungti,stabdžius,Lietojiet,bremzes,Voertuig,afremmen,Aktiver,Bremser,Zatrzymaj,samochód,Frear,o veículo,Travar,o veículo,Acţionează,frânele,Остановить,автомобиль,Zabrzdiť,vozidlo,Zaustavite,vozilo,Shtyp frenat,,Upotrebiti,kočnice,Tryck ner,bromspedal,Araç,fren yapınız,Задійте,гальма,Áp dụng,phanh
20213_5,Panne électrique,,عطل كهربائي,,Eлектр. повреда,,电气故障,,Elektro porucha,,Elektrisk fejl,,Elektr. Störung,,Ηλεκτρική βλάβη,,Electric System,Failure,Avería eléctrica,,Falla eléctrica,,Elektriline viga,,نقص الکتریکی,,Sähköhäiriö,,כשל במערכת,החשמל,बिजली की ख़राबी,,Električni kvar,,Elektromos hiba,,SINYAL:,Sistem Listrik,Guasto elettrico,,電気系統故障,,전기 시스템에,이상이 있습니다,Elektros gedimas,,Elektriska kļūme,,Elektr. storing,,Elektrisk feil,,Usterka elektr.,,Pane elétrica,,Avaria elétrica,,Avarie electrică,,Неисп. эл. сист.,,Elektro porucha,,Električna,okvara,Dështimi,Sistemi elektrik,Električni kvar,,Elektriskt fel,,Elektrik arızası,,Електричний збій,,CẢNH BÁO:,Hệ thống Điện
20213_9,Moteur élec,surchauffe,سخونة زائدة,بالمحرك الكربائى,ел.мотор,прегрял,电机,过热,Elektrický motor,přehřátí,Elektr. Motor,Varm,Elektromotor,Überhitzung,Υπερθέρμανση,ηλεκτρ. κινητήρα,Electrical motor,overheating,Sobrecalent.,motor eléctrico,Motor eléctrico,sobrecalentado,Elektrimootor,ülekuumenemine,موتور برقي,دماي بالا,Sähkömoottori,ylikuumenee,מנוע חשמלי,חימום יתר,इलेक्ट्रिक मोटर,अति गरम है,Elektromotor,pregrijan,Elektromotor,túlmelegedett,Motor Elektrik,Kepananasan,Motore elettrico,surriscaldamento,モーター,オーバーヒート,전기 엔진이,과열되었습니다,Elektr. variklis,perkaito,Elektr. motors,pārkarst,Elektr. motor,oververhitting,Elektrisk motor,overopphetet,Silnik elektr.,przegrzany,Motor elétrico,sobreaquecido,Motor elétrico,sobreaquecimento,Motor electric,supraîncălzit,Перегрев,электромотора,Elektro motor,prehriatie,Električni motor,pregrevanje,Motori elektrik,tejngrohur,Elektro-motor,pregrevanje,Elmotor,Överhettad,Elekt. motor,aşırı ısınma,Перегрів,електродвигуна,Động cơ điện,quá nhiệt
20221_2,Patienter au,ralenti,انتظر فى,القيادة ببطء,изчакайте шофир.,бавно,驾驶中等待,缓慢地,Čekejte na místě,,Afvent kørsel,Langsomt,Im Leerlauf,warten,Περιμένετε,στο ρελαντί,Wait in driving,slowly,Espera en,ralentí,Esperar en,ralentí,Oodake sõites,aeglaselt,انتظار در زمان ر,آرام,Aja hetki,hitaasti,המתן תוך,נסיעה איטית,ड्राइविंग प्रती.,आहिस्ता,Pričekaj na,mjestu,Várjon,alapjáraton,Tunggu saat kemudi,perlahan,Attendi al min.,Preris. in corso,低速で運転,して下さい,예열중,천천히주행하시오,Palaukite lėtai,Vairuodami,"Gaid., braucot",lēni,Even geduld Laat,motor draaien,Vent i sakte,kjøring,Czekaj jadąc,powoli,Aguardar ao,reduzir,Aguarde ao,ralenti,Așteptare relant,Preîncălz curs,Двигайтесь,медленно,Čakajte,,Počakajte,počasi,Prit duke,ecur ngadalë,Vozite polako i,sačekajte,Vänta med körn.,långsamt,Rölantide,bekleyiniz,Їдьте,повільно,Chờ lái xe,từ từ
20221_4,Perfo limitée,moteur froid,برودة المحرك =,أداء أقل,Студен двиг. =,ниски характер.,引擎冷却 =,性能下降,Studený motor =,nižší výkon,Kold motor =,mindre ydeevne,Kalter Motor =,weniger Leistung,Κρύος κινητήρας=,Χαμηλή απόδοση,Cold engine =,less performance,Motor frío =,menos resultado,Motor frío =,menor rendimiento,Külm mootor =,vähem jõudlust,موتور سرد =,عملکرد کمتر,Kylmä moottori =,rajoitettu teho,מנוע קר =,פחות ביצועים,कोल्ड इंजन = कम,प्रदर्शन,Hladan motor =,Manje performans,Hideg motor =,kisebb teljesítm,Mesin dingin =,kinerja kurang,Motore freddo =,meno prestazioni,エンジンが冷えている＝性能低下,,엔진 냉각 =,성능 저하,Šaltas variklis=,mažesnis efekt.,Auksts dzinējs =,mazāka jauda,Koude motor =,minder prestatie,Kald motor =,lavere ytelse,Zimny silnik =,mniej mocy,Motor frio =,menos desemp.,Motor frio =,desempenho limitado,Motor rece =,perfo. scăzută,Холод. двигат. =,низк. производ.,Chladný motor =,nižší výkon,Hladen motor =,zmanj. zmogljiv.,Motori i ftohtë=,peforman. e ulur,Hladan motor =,niske performans,Kall motor =,Lägre prestanda,Soğuk motor=daha,az performans,Холодн. двигун =,менша продуктив.,Động cơ lạnh =,hiệu suất thấp
20223_1,Niveau H₂ faible,,H₂ مستوى منخفض,,Ниско ниво на H₂,,H₂ 水平低,,H₂ nízká hladina,,H₂ niveau,lavt,H₂ Stand niedrig,,Χαμηλή στάθμη,H₂,H₂ level low,,Nivel bajo H₂,,H₂ nivel bajo,,H₂ tase madal,,H₂ سطح پایین است,,H₂ alhainen taso,,H₂ רמה נמוכה,,H₂ स्तर कम,,H₂ razina niska,,H₂ alacsony szint,,H₂ tingkat rendah,,H₂ livello basso,,H₂ レベルが低い,,H₂ 레벨 낮음,,H₂ Žemas lygis,,H₂ līmenis zems,,H₂ niveau laag,,H₂ nivå lavt,,Niski poziom H₂,,Nível H₂ baixo,,Nível H₂ baixo,,H₂ nivel scăzut,,H₂ Низкий уровень,,H₂ nízka hladina,,Nizka količina H₂,,H₂ nivel i ulet,,H₂ nizak nivo,,H₂ nivå låg,,H₂ seviye düşük,,H₂ низьк. рівень,,H₂ Mức thấp,
20223_10,Préchauffage FC,Charge en pause,تسخين FC,يوقف الشحن,Подгр. на FC,Зарежд. на пауза,预热 FC,暂停充电,Předehřev FC,Pauza v nabíjení,Forvarmning FC,Pause opladning,Vorheizen FC,Ladepause,Προθέρμανση FC,Παύση φόρτισης,Preheating FC,Pausing charge,Precalentando FC,Carga pausada,Precalentar FC,Carga en pausa,Eelsoojendus FC,Laadimispaus,در حال گرم کردن FC,توقف شارژ,FC esilämmitys,Ei latausta,חימום מוקדם FC,השהיית טעינה,प्रीहीटिंग FC,चार्ज रोका गया,Predgrij. FC,Pauza u punjenju,FC előmelegítés,Tölt. szünetelt.,Prapemanasan FC,Menjeda isi daya,Preriscaldam FC,pausa carica,がプリヒート中 FC,充電は停止中,FC 예열,충전 중지,Pašildymas FC,Įkrov. pristabd.,Priekšsilda FC,aptur uzlādi,Voorverwarmen FC,Laden uitgesteld,Forvarming FC,Lading på pause,Ogrzewanie FC,Przerwanie ładow,Pré-aquec. FC,Pausar carga,Pré-aquecimento FC,Carga em pausa,Preîncălzire FC,Întrerup. încăr.,Предв. прогрев FC,Зарядка останов.,Zahrievanie FC,Pauza v nabíjaní,Predgretje FC,Ustavljeno poln.,Parangrohja FC,Karikimi ndalet,Pregrevanje FC,Prekinuto punje.,Förvärmning FC,Paus laddning,Ön ısıtma FC,Şarjı duraklatma,Поперед. прогрів FC,Зупинка зарядки,Làm nóng trước FC,Tạm dừng sạc
20223_11,Température FC,élevée,حرارة FC,مرتفعة,Висока темп. на FC,,高 FC,温度,Vysoká FC,teplota,Høj FC,temperatur,Hohe FC,Temperatur,Υψηλή,θερμοκρασία FC,High FC,temperature,Temperatura FC,alta,Alta temperatura de FC,,Kõrge FC,temperatuur,دمای FC,بالای,Korkea FC,lämpötila,טמפרטורהFC,גבוהה,उच्च FC,तापमान,Visoka FC,temperatura,Magas FC,hőmérséklet,Suhu FC,tinggi,Alta FC,temperatura,が高いFC,温度,높은 FC,온도,Aukšta FC,temperatūra,Augsta FC,temperatūra,Hoge FC,temperatuur,Høy FC,temperatur,Temperatura FC,wysoka,Temperatura,FC alta,Temperatura FC,alta,Temperat. FC,ridicată,Высокая FC,температура,Vysoká FC,teplota,Visoka temperatura,FC,Temper. FC,e lartë,Visoka FC,temperatura,FC hög,temperatur,Yüksek FC,sıcaklığı,Висока FC,температура,Nhiệt độ FC,cao
20223_12,Fuel Cell,désactivée,Fuel Cell,معطلة,Fuel Cell,е деактивирана,Fuel Cell,停用,Fuel Cell,deaktivován,Fuel Cell,deaktiveret,Fuel Cell,deaktiviert,Το Fuel Cell,απενεργοποιήθηκε,Fuel Cell,deactivated,Fuel Cell,desactivada,Fuel Cell,desactivada,Fuel Cell,deaktiveeritud,Fuel Cell,غیرفعال شد,Fuel Cell,sammutettu,Fuel Cell,מושבת,Fuel Cell निष्क्रिय,किया गया,Fuel Cell,deaktivirana,Fuel Cell,kikapcsolva,Fuel Cell,dinonaktifkan,Fuel Cell,disattivata,Fuel Cell,解除中,Fuel Cell,비활성화되었습니다,Fuel Cell,išjungtas,Fuel Cell,deaktivizēta,Fuel Cell,gedeactiveerd,Fuel Cell,deaktivert,Fuel Cell,wyłączony,Fuel Cell,desativado,Fuel Cell,desativado,Fuel Cell,dezactivat,Fuel Cell,Деактивация,Fuel Cell,deaktivovaná,Fuel Cell,Dezaktiviranje,Fuel Cell,jo aktive,Fuel Cell,deaktivirana,Fuel Cell AV,,Fuel Cell devre,dışı bırakıldı,Fuel Cell,вимкнено,Fuel Cell,Ngắt kích hoạt
20223_13,Fuel Cell,activée,Fuel Cell,نشطة,Fuel Cell,е активирана,Fuel Cell,启动,Fuel Cell,aktivní,Fuel Cell,aktiveret,Fuel Cell,aktiviert,Το Fuel Cell,ενεργοποιήθηκε,Fuel Cell,activated,Fuel Cell,activada,Fuel Cell,activado,Fuel Cell,aktiveeritud,Fuel Cell,فعال شد,Fuel Cell,käynnistetty,Fuel Cell,הופעל,Fuel Cell,सक्रिय किया गया,Fuel Cell,aktivirana,Fuel Cell,aktiválva,Fuel Cell,diaktifkan,Fuel Cell,attivata,Fuel Cell,起動中,Fuel Cell,활성화되었습니다,Fuel Cell,aktyvuotas,Fuel Cell,aktivizēta,Fuel Cell,geactiveerd,Fuel Cell,aktivert,Fuel Cell,włączony,Fuel Cell,ativado,Fuel Cell,ativado,Fuel Cell,activat,Fuel Cell,Активация,Fuel Cell,bola aktivovaná,Fuel Cell,Aktiviranje,Fuel Cell,aktive,Fuel Cell,aktivirana,Fuel Cell PÅ,,Fuel Cell,etkinleştirildi,Fuel Cell,активовано,Fuel Cell,Đã kích hoạt
20223_15,Autonomie totale,,النطاق الإجمالي,,Общ пробег,,总里程,,Celkový dojezd,,Rækkevidde i alt,,Gesamtreichweite,,Συνολ. αυτονομία,,Total range,,Autonomía total,,Autonomía total,,Kogu sõiduulatus,,کل محدوده,,Toimintamatka,,טווח כולל,,कुल सीमा,,Ukupni raspon,,Teljes hatótáv,,Rentang total,,Autonomia totale,,合計航続距離,,총 주행 가능 거리,,Bendras atstumas,,Kopējais apjoms,,Totaal rijbereik,,Total rekkevidde,,Zasięg całkowity,,Faixa total,,Autonomia total,,Autonomie totală,,Общий пробег,,Celkový rozsah,,Skupni domet,,Distanca e,përshkueshme totale,Ukupan opseg,,Total räckvidd,,Toplam menzil,,Загальн діапазон,,Tổng phạm vi,
