N° de la FEB,fr,ar,bg,chi,cs,da,de,el,en,es,es_XL,et,fa_IR,fi,he,hi,hr,hu,id,it,ja,ko,lt,lv,nl_NL,no,pl,pt_BR,pt_PT,ro,ru,sk,sl,sq,sr,sv,tr,uk,vi
20603_27,"Régul. adaptatif indisponible
Park Assist activé","مثبت السرعة التكيفي غير متاح
مساعد الركن مفعل","Адапт. кр. контр. изкл.
Park Assist актив.","自适应巡航不可用
Park Assist 激活","Adaptivní tempomat nedostupný
Park Assist aktivní","Adaptiv fartpilot
ikke tilgænglig","Adap. Regler nicht verfügbar
Park Assist aktiviert","Adaptive Cruise Ctl μη διαθέσιμο
Park Assist ενεργοποιημένο","Adaptive Cruise Ctl unavailable
Park Assist activated","Regu. adaptativo no disponible
Park Assist activo","Ctrl crucero adap. no disponible
Park Assist activado","Adapt kiirusehoidik kättesaamatu
Park Assist aktiveeritud","کروز کنترل انطباقی
فعال شد Park Assist","Vakionopeudensäädin ei käytössä
Park Assist kytkettynä","מופעל Park Assist
אינו זמין ACC","अनुकूली क्रूज नियंत्रण अनुपलब्ध
PARK ASSIST सक्रिय है","Adaptivni tempomat nedostupan
Park Assist aktiviran","Távolságtartó nem elérhető
Park Assist aktív","Ctl Jelajah Adaptif tdk sedia
Bantuan Parkir nonaktifkan","Regol. adattativo indisponibile
Park Assist attivato","ACC操作不可
Park Assist ON","주차 보조 기능 작동중으로
어댑티브 크루즈 컨트롤 사용 불가능","Adapt. kruizo kontrolė negalimas
Park Assist aktyvuotas","Adapt. kruīza kontr. nav pieej.
Park Assist aktivizēts","Adaptieve regelaar onbeschikbaar
Park Assist actief","Adaptiv fartsholder utilgj.
Park Assist aktivert","Tempomat adaptacyjny niedostępny
Park Assist jest włączony","Piloto automático indisponível
Park Assist. ativado","Regul. adaptativo indisponível
Park Assist ativado","Adaptare viteză controlată off
Park Assist activat","Адапт. рег. скорости недоступен
включена Park Assist","Adaptívny tempomat nedostupný
Park Assist aktivovaný","Uporaba pril. tempo. ni mogoča
Aktiviran Park Assist","Temp. adaptiv I padisponueshëm
Park Assist aktiv","Aktivni tempomat nedostupan
Park Assist aktiviran","Adaptiv farthållare AV
Parkeringshjälp aktiverad","Uyarl. regülatör kullanılamıyor
Park Assist devrede","Адаптив. круїз контроль недоступ
Доп. при паркуванні активовано","Hỗ trợ đỗ xe không có sẵn
Adaptive Cruise Ctl đã được kích hoạt"
20603_28,"Régul. adaptatif indisponible
ESC désactivé","مثبت السرعة التكيفي غير متوفر
ESC غير مفعل","адаптивен авто пилот недостъпен
ESC е деактивирана","自适应巡航控制不可用
ESC关闭","Adaptivní tempomat nedostupný
ESC neaktivní","Adaptiv fartpilot ctl utilgængl
ESC deaktiveret","Adaptiver Regler nicht verfügbar
ESC deaktiviert","Adaptive Cruise Ctl μη διαθέσιμο
ESC απενεργοποιημένο","Adaptive Cruise Ctl unavailable
ESC deactivated","Regul. adaptativo no disponible
ESC desactivado","Cont. Crucero adaptable no disp
ESC desactivado","Koh. kiiruseh. juht. pole saadav
ESC desaktiveeritud","عدم دسترسی کروز کنترل تطبیقی
ESC غیر فعال گردید","Nopeudensäädin ei käytettävissä
ESC poistettu käytöstä","בקרת שיוט אדפטיבית לא זמינה
ESC מושבת","अडाप्टिव क्रूज कंट्रोल अनुपलब्ध
ESC डीऐक्टवेटेड़","Adapt. regul. brzine nedostupan
ESC deaktiviran","Adaptív tempomat nem elérhető
ESC kikapcsolva","Ctl Jelajah Adaptif tdk sedia
ESC nonaktifkan","Regolat. adattivo indisponibile
ESC disattivato","ACC使用不可
ESC OFF","ESC 비활성화되어
어댑티브 크루즈 컨트롤 불가","Negalima adapt. kruizo kontrolė
ESC išjungta","Adaptīvā kruīzk. nav pieejama
Deaktivizēts ESC","Adaptieve regelaar niet beschikb
ESC gedeactiveerd","Adaptiv fartshold. utilgjengelig
ESC avaktivert","Tempomat adaptacyjny niedostępny
ESC wyłączony","Piloto auto. adapt. indisponível
ESC desativado","Regul. adaptativo indisponível
ESC desativado","Pilot automat indisponibil
ESC dezactivat","Адаптив. рег. скор. недоступ.
функция ESC отключена","Adaptívny tempomat nedostupný
ESC deaktivované","Prilag.regul.hitr. ni na voljo
ESC izklopljen","Temp. adaptiv I padisponueshëm
ESC jo aktive","Adaptivni tempomat nedostupan
ESC deaktiviran","Adaptiv farthållare ej tillgäng.
ESC antisladdsystemet aktivt","Uyarl.regülatör kullanılamıyor
ESC devre dışı","Адаптив. Круїз Контр недоступний
ESC вимкнено","Hành trình thích ứng Ctl ESC không khả dụng đã
vô hiệu hóa"
20603_29,"Régul. adaptatif indisponible
HDC activé","مثبت السرعة التكيفي غير متوفر
HDC مفعل","адаптивен авто пилот недостъпен
HDC е активиран","自适应巡航控制不可用
HDC激活","Adaptivní tempomat nedostupný
HDC aktivní","Adaptiv fartpilot ctl utilgængl
HDC aktiveret","Adaptiver Regler nicht verfügbar
HDC aktiviert","Adaptive Cruise Ctl μη διαθέσιμο
HDC ενεργοποιημένο","Adaptive Cruise Ctl unavailable
HDC activated","Regul. adaptativo no disponible
HDC activado","Cont. Crucero adaptable no disp
HDC activado","Koh. kiiruseh. juht. pole saadav
HDC aktiveeritud","عدم دسترسی کروز کنترل تطبیقی
HDC فعال گردید","Nopeudensäädin ei käytettävissä
HDC käynnistetty","בקרת שיוט אדפטיבית לא זמינה
HDC פעיל","अडाप्टिव क्रूज कंट्रोल अनुपलब्ध
HDC एक्टिवेटेड","Adapt. regul. brzine nedostupan
HDC aktiviran","Adaptív tempomat nem elérhető
HDC aktív","Ctl Jelajah Adaptif tdk sedia
HDC diaktifkan","Regolat. adattivo indisponibile
HDC attivato","ACC 使用不可
HDC ON","HDC 활성화되어
어댑티브 크루즈 컨트롤 불가","Negalima adapt. kruizo kontrolė
HDC įjungtas","Adaptīvā kruīzk. nav pieejama
Aktivizēts HDC","Adaptieve regelaar niet beschikb
HDC actief","Adaptiv fartshold. utilgjengelig
HDC aktivert","Tempomat adaptacyjny niedostępny
HDC włączony","Piloto auto. adapt. indisponível
HDC ativado","Regul. adaptativo indisponível
HDC ativado","Autopilot indisponibil
HDC activat","Адаптив. рег. скор. недоступ.
функция HDC активна","Adaptívny tempomat nedostupný
HDC aktivované","Prilag.regul.hitr. ni na voljo
HDC vklopljen","Temp. adaptiv I padisponueshëm
HDC e aktivizuar","Adaptivni tempomat nedostupan
HDC aktiviran","Adaptiv farthållare ej tillgäng.
HDC backkontroll används","Uyarl. regülatör kullanılamıyor
HDC devrede","Адаптив круїз контр недоступний
HDC активовано","Hành trình thích ứng Ctl HDC không khả dụng đã
được kích hoạt"
20603_30,"Régul. adaptatif
indisponible","مثبت السرعة
التكيفى غير متاح","адапт. автопилот
недостъпен","自适应巡航
不可用","Adaptivní temp.
nedostupný","Adaptiv cruise
Ctl utilgænligt","Adaptiver Regler
n. verfügbar","Adaptive Cruise
Ctl μη διαθέσιμο","Adaptive Cruise
Ctl unavailable","Regulador Adapt.
no disponible","Control Crucero
Reg. Indisponib.","Adapt. kiirusp.
pole saadaval","کروز تطبيقي
خاموش","Mukautuva vakio-
nopeus ei käyt.","בקרת שיוט
אדפטיבית לא זמינ","अनुकूली क्रूज
नियंत्रणअनुपलब्ध","Adapt. tempomat
nedostupan","Távolságtartó
nem elérhető","Cruise Control
Tdk Ada","Regol. adattivo
indisponibile",ACC利用不可,"어댑티브 크루즈
컨트롤 작동불가","Adapt. greičio
reg. negalimas","Adapt. kruīza k.
nav pieejama","Adaptieve regel.
niet beschikbaar","Adaptive cruise
Ctl utilgjengeli","Regulator adapt.
niedostępny","Piloto auto.
adapt. indispon.","Regul. Adaptat.
indisponível","Regulat. adaptiv
indisponibil","Адаптивный круиз
контроль недстп.","Adaptívny temp.
nedostupný","Aktivni tempomat
ni na voljo","Rreg. i përsht.
i padisponueshëm","Adaptiv.tempomat
nedostupan","Adap farthållare
Ej tillgänglig","Uyarl. regülatör
kullanılamıyor","Адапт.круїз конт
не доступно","đk h.tr chủ động
không sẵn có"
20603_32,"Régulateur adaptatif
déconnecté","مثبت السرعة التكيفي
غير متصل","Адаптивен авто пилот
изключен","自适应巡航控制
连接中断","Adaptivní tempomat
odpojen","Adaptiv fartpilot
frakoblet","Adaptiver Regler
ausgeschaltet","Adaptive Cruise Control
αποσυνδεδεμένο","Adaptive Cruise Control
disconnected","Regulador adaptativo
desconectado","Cont. crucero adaptable
desconectado","Kohanduv kiirushoidik
lahti ühendatud","کروز کنترل تطبیقی
عدم اتصال","Mukautuva vakionopeudensäädin:
Kytketty pois","בקרת שיוט אדפטיבית
מנותקת","अडाप्टिव क्रूज कंट्रोल
डिस्कनेक्ट","Adaptivni regulator
brzine isključen","Adaptív tempomat
lekapcsolva","Kendali Jelajah Adaptif
terputus","Regolatore adattivo
disconnesso","ACC
休止","어댑티브 크루즈 컨트롤이
작동 정지되었습니다","Išjungta adaptyvi
kruizo kontrolė","Adaptīvā kruīzkontrole
atvienota","Adaptieve regelaar
uitgeschakeld","Adaptiv fartsholder
frakoblet","Tempomat adaptacyjny
wyłączony","Piloto automático adaptativo
desativado","Regulador adaptativo
desligado","Autopilot
Dezactivat","Адаптив. рег. скор.
отключен","Adaptívny tempomat
odpojený","Prilagodljiv regulator hitrosti
neaktiven","Rreg. i përsht.
i shkëputur","Adaptivni tempomat
deaktiviran","Adaptiv farthållare
Pausläge","Uyarlamalı hız regülatörü
devre dışı","Адаптивний Круїз-контроль
відключено","Ngắt kết nối Kiểm soát hành
trình thích ứng"
20603_33,"Régulateur adaptatif
désactivé","مثبت السرعة التكيفى
غير مفعل","Адаптивен темпомат
деактивиран","自适应巡航控制
关闭","Adaptivní tempomat
neaktivní","Adaptiv fartpilot
deaktiveret","Adaptiver Regler
deaktiviert","Adaptive Cruise Control
απενεργοποιημένο","Adaptive Cruise Control
deactivated","Regulador adaptativo
desactivado","Control crucero adaptativo
desactivado","Kohanduv kiirushoidik (ACC)
deaktiveerinud","کروز کنترل انطباقی
غیرفعال شد","Mukautuva vakionopeudensäädin
Kytketty pois","בקרת שיוט אדפטיבית
מושבתת","अनुकूली क्रूज
नियंत्रण निष्क्रिय","Adaptivni tempomat
deaktiviran","Távolságtartó
kikapcsolva","Kendali Jelajah Adaptif
nonaktifkan","Regolatore adattivo
disattivato","ACC
解除","어댑티브 크루즈 컨트롤이
비활성화되었습니다","Adaptyvus tempomatas
išjungtas","Adaptīvā kruīza kontrole
deaktivizēta","Adaptieve regelaar
uitgeschakeld","Adaptiv fartsholder
deaktivert","Tempomat adaptacyjny
nieaktywny","Piloto automático adaptativo
Desativado","Regulador adaptativo
desativado","Control adaptiv
dezactivat","Адаптивный регулятор скорости
отключен","Adaptívny tempomat
deaktivovaný","Prilagodljiv tempomat
Deaktiviran","Tempomati adaptivë
I çaktivizuar","Adaptivni tempomat
deaktiviran","Adap. farthållare ej tillgänglig
Avaktiverad","Uyarlamalı hız regülatörü
devre dışı","Адаптивний Круїз контроль
деактивовано","Tắt Kiểm soát hành trình
thích ứng"
20603_35,"Régul. adaptatif indisponible
Frein de Parking Assisté activé","مثبت السرعة التكيفي غير متوفر
فرامل الركن الإلكترونية مفعلة","адаптивен авто пилот недостъпен
електр. паркинг спирачка актив.","自适应巡航控制不可用
电子驻车制动激活","Adaptivní tempomat nedostupný
Elektronická ruční brzda aktivní","Adaptiv fartpilot ctl utilgængl
P. bremse aktiveret","Adaptiver Regler nicht verfügbar
Elektron. Parkbremse aktiviert","Adaptive Cruise Ctl μη διαθέσιμο
Ηλεκτ. Χειρόφρενο ενεργοποιημένο","Adaptive Cruise Ctl unavailable
Electronic Park. Brake activated","Regul. adaptativo no disponible
Freno de Parking Asistido activo","Cont. Crucero adaptable no disp
Freno est asistido activado","Koh. kiiruseh. juht. pole saadav
elekt. parkimis- pidur akt.","عدم دسترسی کروز کنترل تطبیقی
ترمز دستی برقی فعال گردید","Nopeudensäädin ei käytettävissä
Sähköinen seisontajarru kytketty","בקרת שיוט אדפטיבית לא זמינה
בלם חניה אלקטרוני פעיל","अडाप्टिव क्रूज कंट्रोल अनुपलब्ध
इलेक्ट्रॉनिक पार्क. ब्रेक सक्रिय","Adapt. regul. brzine nedostupan
elektr. ručna kočnica aktivirana","Adaptív tempomat nem elérhető
Automata parkolófék aktív","Ctl Jelajah Adaptif tdk sedia
Parkir elektronik. Rem diaktifkan","Cruise Control adattivo no disp.
Freno stazionam. attivato","ACC使用不可
パーキングブレーキ ON","전자식 주차 브레이크 작동중
어댑티브 크루즈 컨트롤 사용 불가능","Negalima adapt. kruizo kontrolė
Stovėjimo stabdis įjungtas","Adaptīvā kruīzk. nav pieejama
Elektron. stāvbremze aktivizēta","Adaptieve regelaar niet beschikb
Elektr. handrem geactiveerd","Adaptiv fartshold. utilgjengelig
elektronisk park. brems aktivert","Tempomat adaptacyjny niedostępny
Hamulec Parkingowy włączony","Piloto auto. adapt. desativado
Freio estac. eletrônico. ativado","Regul. adaptativo indisponível
Travão Estac. Assistido ativado","Autopilot indisponibil Frână
De parcare electrică activată","Адаптив. рег. скор. недоступ.
Усил. стоян. торм. активен","Adaptívny tempomat nedostupný
parkovacia brzda je aktivovaná","Prilag.regul.hitr. ni na voljo
Elektr.park.zavora vklopljena","Temp. adaptiv I padisponueshëm
Freni i dorës elek. Aktiv","Adaptivni tempomat nedostupan
Elektr.parkirna kočnica aktivna","Adaptiv farthållare ej tillgäng.
Elektrisk P-broms används","Uyarl.regülatör kullanılamıyor
Elektronik Park Freni devrede","Адаптив. Круїз Контр недоступний
Електрон парк гальмо активовано","Không có sẵn
Adaptive Cruise Ctl. Đã kích hoạt ngắt"
20603_38,"Régul. adaptatif indisponible
Vitesse limitée en EV","مثبت السرعة التكيفى غير متوفر
EV سرعة محددة فى","Адаптивен темпомат недостъпен
Ограничена скорост в EV","自适应巡航不可用
电动汽车限速","Adaptivní tempomat nedostupný
Limitovaná rychlost v EV","Adaptiv fartpilot ikke muligt
Fart begrænset i EV","Adaptiver Regler nicht verfügbar
Begrenzte Geschwindigkeit in EV","Adaptive Cruise Ctl μη διαθέσιμο
Περιορισμένη ταχύτητα στο EV","Adaptive Cruise Ctl unavailable
Limited speed in EV","Regu. adaptativo no disponible
Velocidad limitada en EV","Control crucero adapt. no disp.
Velocidad limitada en EV","Adaptiivne kiirusehoidik kättesa
Elektrivõimsusel piiratud kiirus","عدم دسترسی کروز کنترل انطباقی
سرعت محدود در خودرو برقی","Mukautuva säädin ei käytössä
Rajoitettu nopeus EV-tilassa","בקרת שיוט אדפטיבית אינה זמינה
EV-מהירות מוגבלת ב","अनुकूली क्रूज नियंत्रण अनुपलब्ध
EV में सीमित गति","Adaptivni tempomat nedostupan
Brzina ograničena u EV","Távolságtartó nem elérhető
EV módban a sebesség limitált","Ctl Jejalah Adaptif tdk sedia
kecepatan terbatas pada EV","Regol. adattativo indisponibile
Velocità limitata in EV","ACC 操作不可
EVモード速度制限中","어댑티브 크루즈 컨트롤 미작동
차속이 제한됩니다.","Adapt. tempomatas negalimas
EV greitis apribotas","Adaptīvā kruīza k. nav pieejama
Ierobežots EV ātrums","Adaptieve regelaar onbeschikbaar
Snelheid beperkt in EV","Adaptiv fartsholder utilgjengeli
begrenset hastighet i EV","Tempomat adaptacyjny niedostępny
Prędkość ograniczona dla EV","Piloto auto. adapt. indisponível
Velocidade limitada em EV","Regul. adaptativo indisponível
Velocidade limitada em EV","Control adaptiv indisponibil
Viteză limitată în modul EV","Адаптивный регулятор недоступен
Скорость в режиме Э/М ограничена","Adaptívny tempomat nie je k disp
Obmedzená rýchlosť v EV","Prilag. tempomat ni na voljo
Omejena hitrost v EV","Temp. adaptiv jo i mundur
Shpejtësi e kufizuar në EV","Adaptivni tempomat nije dostupan
brzina je ograničena u EV","Adap. farthållare ej tillgänglig
Begränsad hastighet i EV-läge","Uyarl. regülatör kullanılamıyor
EV sınırlı hız","Адаптив.Круїз контроль недоступ.
Швидкість обмежена в EV","Có Ctl Hành trình Thích ứng
Tốc độ giới hạn trong EV"
20603_39,"Régulateur adaptatif
sélectionné","تم تحديد
التحكم التكيفي بالسرعة","Избран адапт.
темпомат","已选择
自适应巡航系统","Adaptivní tempomat
vybrán","Adaptiv krydstog Control
valgt","Adaptiver Tempomat
ausgewählt","Προσαρμοστικό Cruise Control
επιλέχθηκε","Adaptive Cruise Control
selected","Regulador de velocidad adaptativo
seleccionado","Ctrl crucero adap.
seleccionado","Adaptiivne püsikiiruse hoidja
valitud","کنترل کروز انطباقی
انتخابی","Mukautuva vakionopeudensäädin
valittu","בקרת שיוט אדפטיבית
נבחרה","अनुकूली क्रूज कंट्रोल
सिलेक्टिड","Adaptivni
tempomat odabran","Adaptív tempomat
kiválasztva","Kendali Pacu Adaptif
dipilih","Crociera adatti Controllo
selezionato","アダプティブクルーズ
コントロールを実行","어댑티브 크루즈 컨트롤
선택됨","Nustatomas kruizo valdiklis
pasirinktas","Adaptīvā kruīza kontrole
atlasīta","Adaptieve Regelaar
geselecteerd","Adaptiv Cruise Control
valgt","Adaptacyjny Tempomat
wybrany","Piloto Automático Adaptativo
selecionado","Regulador adaptativo
selecionado","Pilot automat adaptiv
selectat","Выбран адаптивный
круиз-контроль","Adaptívny
tempomat vybraný","Adaptivni tempomat
izbran","Tempomati Adaptiv
i selektuar","Adaptivni
temp. izabran","Adaptiv farthållare
Vald","Adaptif Hız
Kontrolü seçildi","Вибраний адаптивний
круїз-контроль","Đã chọn K.soát
h.trình th.ứng"
20603_40,"Trafic dense
à proximité","حركة مرور كثيفة
قبل","Силен трафик
напред","交通拥挤
前方","Silný provoz
na trase","Tæt trafik
forude","Starker Verkehr
voraus","Αυξημένη κίνηση
μπροστά","Heavy traffic
ahead","Tráfico pesado
delante","Tráfico pesado
adelante","Tihe liiklus
eespool","ترافیک سنگین
روبه‌جلو","Raskas liikenne
edessä","תנועה כבדה
מלפנים","आगे यातायात
वाहन है","Prometna gužva
naprijed","Sűrű forgalom
következik","Kemacetan
di depan","Traffico intenso
più avanti","渋滞
停車してください","전방
교통체증","Intens.
eismas","Blīva satiksme
transportlīdzeklis","In nabijheid van
filevorming","Tung trafikk
fremover","Duży ruch
z przodu","Trânsito carreg
à frente","Trânsito intenso
mais à frente","Trafic intens
în faţă","Интенс. движение
впереди","Hustá premávka
vpredu","Gost promet
pred vami","Trafik i rënduar
përpara","Gust saobraćaj
ispred","Tung trafik
framför","Yoğun trafik
ileride","Інтенсивний рух
попереду","Đông đúc
phía trước"
20603_41,"Trafic dense
à proximité","حركة مرور كثيفة
قبل","Силен трафик
напред","交通拥挤
前方","Silný provoz
na trase","Tæt trafik
forude","Starker Verkehr
voraus","Αυξημένη κίνηση
μπροστά","Heavy traffic
ahead","Tráfico pesado
delante","Tráfico pesado
adelante","Tihe liiklus
eespool","ترافیک سنگین
روبه‌جلو","Raskas liikenne
edessä","תנועה כבדה
מלפנים","आगे यातायात
वाहन है","Prometna gužva
naprijed","Sűrű forgalom
következik","Kemacetan
di depan","Traffico intenso
più avanti","渋滞
停車してください","전방
교통체증","Intens.
eismas","Blīva satiksme
transportlīdzeklis","In nabijheid van
filevorming","Tung trafikk
fremover","Duży ruch
z przodu","Trânsito carreg
à frente","Trânsito intenso
mais à frente","Trafic intens
în faţă","Интенс. движение
впереди","Hustá premávka
vpredu","Gost promet
pred vami","Trafik i rënduar
përpara","Gust saobraćaj
ispred","Tung trafik
framför","Yoğun trafik
ileride","Інтенсивний рух
попереду","Đông đúc
phía trước"
20603_42,"Zone de travaux
à proximité","أعمال الطرق
قبل","Ремонт на пътя
напред","道路作业
前方","Práce na silnici
na trase","Vejarbejde
forude","Straßenarbeiten
voraus","Οδικά έργα
μπροστά","Road works
ahead","Obras viales
delante","Obras viales
adelante","Teetööd
eespool","جاده دردست تعمیر
روبه‌جلو","Tietöitä
edessä","עבודות בכביש
מלפנים","आगे सड़क का
वाहन है","Radovi na cesti
naprijed","Útépítés
következik","Pekerjaan jalan
di depan","Cantiere
più avanti","道路工事
停車してください","전방
도로 공사","Kelio
darbai","Ceļu remontdarbi
transportlīdzeklis","In nabijheid van
wegwerkzaamheden","Veiarbeid
fremover","Roboty drogowe
z przodu","Obras na estrada
à frente","Obras na estrada
mais à frente","Drum în lucru
în faţă","Дорожные работы
впереди","Práce na ceste
vpredu","Cestna dela
pred vami","Punime në rrugë
përpara","Radovi na putu
ispred","Vägarbeten
framför","Yol çalışmaları
ileride","Дорожні роботи
попереду","Công trường
phía trước"
20603_43,"Zone de travaux
à proximité","أعمال الطرق
قبل","Ремонт на пътя
напред","道路作业
前方","Práce na silnici
na trase","Vejarbejde
forude","Straßenarbeiten
voraus","Οδικά έργα
μπροστά","Road works
ahead","Obras viales
delante","Obras viales
adelante","Teetööd
eespool","جاده دردست تعمیر
روبه‌جلو","Tietöitä
edessä","עבודות בכביש
מלפנים","आगे सड़क का
वाहन है","Radovi na cesti
naprijed","Útépítés
következik","Pekerjaan jalan
di depan","Cantiere
più avanti","道路工事
停車してください","전방
도로 공사","Kelio
darbai","Ceļu remontdarbi
transportlīdzeklis","In nabijheid van
wegwerkzaamheden","Veiarbeid
fremover","Roboty drogowe
z przodu","Obras na estrada
à frente","Obras na estrada
mais à frente","Drum în lucru
în faţă","Дорожные работы
впереди","Práce na ceste
vpredu","Cestna dela
pred vami","Punime në rrugë
përpara","Radovi na putu
ispred","Vägarbeten
framför","Yol çalışmaları
ileride","Дорожні роботи
попереду","Công trường
phía trước"
20603_44,"Véhicule arrêté
à proximité","سيارة متوقفة
قبل","Неподвижна кола
напред","静止车辆
前方","Stojící vozidlo
na trase","Parkeret køretøj
forude","Stehendes Fahr-
zeug voraus","Σταματημ. όχημα
μπροστά","Stationary vehicle
ahead","Vehículo parado
más adelante","Vehículo parado
adelante","Seisev sõiduk
eespool","وسیله نقلیه ثابت
روبه‌جلو","Pysähtynyt auto
edessä","רכב נייח
מלפנים","आगे स्थिर
वाहन है","Vozilo u mirov.
naprijed","Álló jármű
következik","Kendaraan diam
di depan","Veicolo fermo
più avanti","前方で車両を
停車してください","전방
정지 차량","Stovinti
tr. prm.","Priekšā stāvošs
transportlīdzeklis","Stilstaand
voertuig nabij","Stillest. kj.tøy
fremover","Stojący pojazd
z przodu","Veículo parado
à frente","Veículo parado
mais à frente","Vehicul oprit
în faţă","Неподв. автом.
впереди","Stojace vozidlo
vpredu","Vozilo v mirov.
pred vami","Automjet i ndalur
përpara","Stacion. vozilo
ispred","Stat. fordon
framför","Sabit araç
ileride","Нерухоме авто
попереду","Xe đỗ
phía trước"
20603_45,"Véhicule arrêté
à proximité","سيارة متوقفة
قبل","Неподвижна кола
напред","静止车辆
前方","Stojící vozidlo
na trase","Parkeret køretøj
forude","Stehendes Fahr-
zeug voraus","Σταματημ. όχημα
μπροστά","Stationary vehicle
ahead","Vehículo parado
más adelante","Vehículo parado
adelante","Seisev sõiduk
eespool","وسیله نقلیه ثابت
روبه‌جلو","Pysähtynyt auto
edessä","רכב נייח
מלפנים","आगे स्थिर
वाहन है","Vozilo u mirov.
naprijed","Álló jármű
következik","Kendaraan diam
di depan","Veicolo fermo
più avanti","前方で車両を
停車してください","전방
정지 차량","Stovinti
tr. prm.","Priekšā stāvošs
transportlīdzeklis","Stilstaand
voertuig nabij","Stillest. kj.tøy
fremover","Stojący pojazd
z przodu","Veículo parado
à frente","Veículo parado
mais à frente","Vehicul oprit
în faţă","Неподв. автом.
впереди","Stojace vozidlo
vpredu","Vozilo v mirov.
pred vami","Automjet i ndalur
përpara","Stacion. vozilo
ispred","Stat. fordon
framför","Sabit araç
ileride","Нерухоме авто
попереду","Xe đỗ
phía trước"
20603_46,"Accident
à proximité","حادث
قبل","Катастрофа
напред","事故
前方","Nehoda
na trase","Ulykke
forude","Unfall
voraus","Ατύχημα
μπροστά","Accident
ahead","Accidente
más adelante","Accidente
adelante","Õnnetus
eespool","تصادف
روبه‌جلو","Onnettomuus
edessä","תאונה
מלפנים","आगे दुर्घटना
वाहन है","Nesreća
naprijed","Baleseti helysz.
következik","Kecelakaan
di depan","Incidente
più avanti","事故
停車してください","전방
사고","Eismo
įvykis","Negadījums
transportlīdzeklis","In nabijheid van
een ongeval","Ulykke
fremover","Wypadek
z przodu","Acidente
à frente","Acidente
mais à frente","Accident
în faţă","Авария
впереди","Nehoda
vpredu","Nesreča
pred vami","Aksident
përpara","Nezgoda
ispred","Olycka
framför","Kaza
ileride","Аварія
попереду","Tai nạn
phía trước"
20603_47,"Accident
à proximité","حادث
قبل","Катастрофа
напред","事故
前方","Nehoda
na trase","Ulykke
forude","Unfall
voraus","Ατύχημα
μπροστά","Accident
ahead","Accidente
más adelante","Accidente
adelante","Õnnetus
eespool","تصادف
روبه‌جلو","Onnettomuus
edessä","תאונה
מלפנים","आगे दुर्घटना
वाहन है","Nesreća
naprijed","Baleseti helysz.
következik","Kecelakaan
di depan","Incidente
più avanti","事故
停車してください","전방
사고","Eismo
įvykis","Negadījums
transportlīdzeklis","In nabijheid van
een ongeval","Ulykke
fremover","Wypadek
z przodu","Acidente
à frente","Acidente
mais à frente","Accident
în faţă","Авария
впереди","Nehoda
vpredu","Nesreča
pred vami","Aksident
përpara","Nezgoda
ispred","Olycka
framför","Kaza
ileride","Аварія
попереду","Tai nạn
phía trước"
20603_48,"Route glissante
à proximité","طريق زلق
قبل","Хлъзгав път
напред","湿滑道路
前方","Kluzká vozovka
na trase","Glat vej
forude","Glatte Straße
voraus","Ολισθηρό οδόστρ.
μπροστά","Slippery road
ahead","Vía resbaladiza
más adelante","Ruta resbaladiza
adelante","Libe tee
eespool","جاده لغزنده
روبه‌جلو","Liukas tie
edessä","כביש חלק
מלפנים","आगे फिसलन वाली
वाहन है","Skliska cesta
naprijed","Csúszós útszakasz
következik","Jalan licin
di depan","Strada scivolosa
più avanti","滑りやすい路面
停車してください","전방
미끄러운 도로","Slidus
kelias","Slidens ceļš
transportlīdzeklis","In nabijheid van
glad wegdek","Glatt vei
fremover","Śliska droga
z przodu","Estr. escorreg.
à frente","Piso escorregadio
mais à frente","Drum alunecos
în faţă","Скользкая дорога
впереди","Klzká cesta
vpredu","Spolzka cesta
pred vami","Rrugë rrëshqit.
përpara","Klizav put
ispred","Halt väglag
framför","Kaygan yol
ileride","Слизька дорога
попереду","Đường trơn trượt
phía trước"
20603_49,"Route glissante
à proximité","طريق زلق
قبل","Хлъзгав път
напред","湿滑道路
前方","Kluzká vozovka
na trase","Glat vej
forude","Glatte Straße
voraus","Ολισθηρό οδόστρ.
μπροστά","Slippery road
ahead","Vía resbaladiza
más adelante","Ruta resbaladiza
adelante","Libe tee
eespool","جاده لغزنده
روبه‌جلو","Liukas tie
edessä","כביש חלק
מלפנים","आगे फिसलन वाली
वाहन है","Skliska cesta
naprijed","Csúszós útszakasz
következik","Jalan licin
di depan","Strada scivolosa
più avanti","滑りやすい路面
停車してください","전방
미끄러운 도로","Slidus
kelias","Slidens ceļš
transportlīdzeklis","In nabijheid van
glad wegdek","Glatt vei
fremover","Śliska droga
z przodu","Estr. escorreg.
à frente","Piso escorregadio
mais à frente","Drum alunecos
în faţă","Скользкая дорога
впереди","Klzká cesta
vpredu","Spolzka cesta
pred vami","Rrugë rrëshqit.
përpara","Klizav put
ispred","Halt väglag
framför","Kaygan yol
ileride","Слизька дорога
попереду","Đường trơn trượt
phía trước"
